Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
219,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,20-Jun-24
220,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,20-Mar-24
221,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,21-Dec-23
222,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,21-May-24
223,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,22-Jul-23
224,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,23-Mar-24
225,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,25-Jun-24
226,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,25-Mar-24
227,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,28-Dec-23
228,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,29-Jun-24
229,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,29-May-24
230,Idukki,Adimali,Beetroot,Beetroot,FAQ,7000,7000,7000,05-Jul-24
231,Idukki,Adimali,Beetroot,Beetroot,FAQ,7000,7000,7000,21-Jun-24
232,Idukki,Adimali,Beetroot,Beetroot,FAQ,7000,7000,7000,22-Jun-24
233,Idukki,Adimali,Beetroot,Beetroot,FAQ,7000,8000,8000,16-Aug-23
234,Alappuzha,Alappuzha,Beetroot,Other,FAQ,2500,3500,3000,23-Sep-23
235,Alappuzha,Alappuzha,Beetroot,Other,FAQ,2800,3500,3100,18-Dec-23
236,Alappuzha,Alappuzha,Beetroot,Other,FAQ,2900,3600,3200,19-Jan-24
237,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3500,3200,01-Oct-23
238,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3500,3200,04-Oct-23
239,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3500,3200,09-Oct-23
240,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3700,3300,01-Dec-23
241,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3700,3300,09-Dec-23
242,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3700,3300,12-Jan-24
243,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3700,3300,15-Dec-23
244,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3700,3300,16-Dec-23
245,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3700,3300,17-Dec-23
246,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3700,3300,22-Dec-23
247,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,3800,3400,17-Jan-24
248,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,4000,3500,05-Sep-23
249,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,4000,3500,12-Sep-23
250,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3000,4000,3500,17-Sep-23
251,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3300,3900,3600,02-Nov-23
252,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3300,3900,3600,16-Jan-24
253,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3300,4000,3600,10-Jan-24
254,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3300,4000,3600,11-Jan-24
255,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3300,4000,3700,27-Dec-23
256,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3300,4100,3700,28-Apr-24
257,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3400,3900,3600,13-Oct-23
258,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3400,3900,3700,16-Oct-23
259,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3400,4000,3700,12-Nov-23
260,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3400,4100,3800,28-Dec-23
261,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3400,4200,3800,10-Nov-23
262,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3400,4200,3800,20-May-24
263,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4200,3800,06-Jan-24
264,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4200,3800,08-Dec-23
265,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4200,3800,09-Jan-24
266,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4200,3800,21-Nov-23
267,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4200,3900,09-Nov-23
268,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,05-Oct-23
269,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,06-Oct-23
270,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,07-Oct-23
271,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,07-Sep-23
272,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,08-Oct-23
273,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,11-Sep-23
274,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,13-Sep-23
275,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,18-Sep-23
276,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,19-Sep-23
277,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,21-Sep-23
278,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,22-Sep-23
279,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,28-Sep-23
280,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3500,4500,4000,30-Sep-23
281,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4200,3900,05-Jan-24
282,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4200,3900,06-Nov-23
283,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4200,3900,13-Jan-24
284,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4200,3900,13-May-24
285,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4200,3900,21-Oct-23
286,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4200,4000,14-Oct-23
287,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4200,4000,23-Oct-23
288,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4300,4000,08-Nov-23
289,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4300,4000,11-May-24
290,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4300,4000,22-Nov-23
291,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4400,3800,25-Nov-23
292,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3600,4400,4000,04-Dec-23
293,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3700,4200,3900,08-May-24
294,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3700,4200,4000,23-Nov-23
295,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3700,4300,4000,21-May-24
296,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3700,4400,4000,05-Apr-24
297,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3700,4400,4000,18-Nov-23
298,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3700,4400,4000,30-Nov-23
299,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3700,4500,4100,07-Nov-23
300,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3700,4500,4100,30-Mar-24
301,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3800,4400,4100,03-Nov-23
302,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3800,4400,4100,29-Mar-24
303,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3800,4500,4100,03-May-24
304,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3800,4500,4100,16-May-24
305,Alappuzha,Alappuzha,Beetroot,Other,FAQ,3800,4500,4100,18-May-24
